"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,13.3333333333333,0.6,1,2,98,1,0.41567558228312,0.872621864300464,-0.58432441771688,1.19660445215463,0.02,0.08
200,13.3333333333333,0.6,1,3,61,1,0.804296437117826,1.06707281981129,-0.195703562882174,1.08403124793984,0.56,0.26
200,13.3333333333333,0.6,1,4,42,1,0.46131384063004,1.16130650473246,-0.53868615936996,1.42826315293457,0.62,0.16
200,13.3333333333333,0.6,1,5,30,1,0.672774594145432,1.0238645871606,-0.327225405854568,1.11046376165407,0.78,0.3
200,13.3333333333333,0.6,1,6,23,1,0.900115737833007,1.10899014957056,-0.0998842621669929,1.0967872124078,0.82,0.2
200,13.3333333333333,0.6,1,7,18,1,0.946461450922123,0.535313093395049,-0.0535385490778766,0.527473207764512,0.84,0.26
200,13.3333333333333,0.6,1,8,14,1,0.869719169795055,0.669960590061429,-0.130280830204945,0.67353447297909,0.9,0.2
200,13.3333333333333,0.6,1,9,11,1,0.949224165819177,0.80278972477977,-0.0507758341808233,0.789312115620933,0.88,0.34
200,13.3333333333333,0.6,1,10,8,1,1.03812211319591,0.69108387971779,0.0381221131959124,0.678715497637956,0.92,0.34
200,13.3333333333333,0.6,1,11,6,1,1.19674342415778,0.405571062392704,0.196743424157776,0.436167616094176,0.9,0.52
200,13.3333333333333,0.6,1,12,4,1,1.02660784253931,0.375374210776398,0.0266078425393059,0.368574703845466,0.9,0.42
200,13.3333333333333,0.6,1,13,3,1,1.11606869936914,0.50555702864447,0.116068699369137,0.508917831044824,0.92,0.48
200,13.3333333333333,0.6,1,14,2,1,0.849797965226687,0.321627079448919,-0.150202034773313,0.337755189109984,0.94,0.3
