"c1","c2","sigma2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,20,2,0.4,2,66,1,0.472934698540969,0.500416754215022,-0.527065301459031,0.768206251132821,0.2,0.08
200,20,2,0.4,3,41,1,0.717669533620164,0.742607742229619,-0.282330466379836,0.807466079631282,0.54,0.2
200,20,2,0.4,4,28,1,0.932001800670879,0.469337404464674,-0.0679981993291213,0.464574411487383,0.78,0.34
200,20,2,0.4,5,21,1,0.876309923570188,0.520176256995127,-0.123690076429812,0.525071966862437,0.82,0.38
200,20,2,0.4,6,16,1,0.86868336347748,0.406398690039085,-0.13131663652252,0.415514775265891,0.82,0.38
200,20,2,0.4,7,12,1,0.916616720029224,0.475679599994691,-0.0833832799707755,0.473118779373482,0.82,0.46
200,20,2,0.4,8,9,1,1.09686006404118,0.403278723761495,0.0968600640411779,0.404595021292326,0.9,0.52
200,20,2,0.4,9,7,1,1.01001257593579,0.311633077879426,0.0100125759357943,0.305500667998707,0.96,0.44
200,20,2,0.4,10,6,1,0.991425309725112,0.375043265190272,-0.00857469027488778,0.367615925199777,0.92,0.46
200,20,2,0.4,11,4,1,0.926849708874604,0.404867581953707,-0.0731502911253955,0.402121195406363,0.94,0.34
200,20,2,0.4,12,3,1,0.856032203531402,0.331890321051514,-0.143967796468598,0.345979241050507,0.94,0.26
200,20,2,0.4,13,2,1,0.909246240884041,0.418781875179103,-0.0907537591159591,0.418642482469198,0.96,0.22
