"c1","c2","gamma2","G","R","beta","beta_hat","beta_var","bias","mse","coverage","power"
200,40,0.2,2,33,1,0.562529254740355,0.475225644618272,-0.437470745259645,0.657101784683937,0.06,0.54
200,40,0.2,3,21,1,0.692166219544773,0.452505804203453,-0.307833780455227,0.538217324508741,0.5,0.5
200,40,0.2,4,14,1,0.759486058347172,0.259463800909577,-0.240513941652828,0.312121481020765,0.74,0.62
200,40,0.2,5,11,1,0.951908783135059,0.195082910757791,-0.0480912168649412,0.193494017682186,0.84,0.78
200,40,0.2,6,8,1,0.960243760666477,0.193711801217867,-0.0397562393335226,0.191418123759454,0.84,0.7
200,40,0.2,7,6,1,1.04032117056207,0.184142808620337,0.0403211705620694,0.182085749243426,0.8,0.82
200,40,0.2,8,5,1,0.981028984433954,0.14191211392268,-0.0189710155660463,0.139433771075834,0.84,0.82
200,40,0.2,9,4,1,1.0215711973319,0.135192699619252,0.0215711973318964,0.132954162181198,0.82,0.92
200,40,0.2,10,3,1,1.05497089213552,0.103470741861178,0.0549708921355174,0.104423126006129,0.84,0.92
200,40,0.2,11,2,1,0.981075580296909,0.0842168132590724,-0.0189244197030908,0.0828906106549897,0.94,0.92
200,40,0.2,12,2,1,0.991615114850124,0.0519959130093751,-0.00838488514987612,0.0510263010481642,0.98,0.96
